Entry	KEGG	Entry name	Protein names	Gene names	Gene ontology IDs
A9RZ57	PHYPADRAFT_161913	CSPLD_PHYPA	CASP-like protein UU6 (PpCASPLUU6)	PHYPADRAFT_161913	GO:0016021; GO:0005886
A9RJH1	PHYPADRAFT_66946	CSPLC_PHYPA	CASP-like protein UU7 (PpCASPLUU7)	PHYPADRAFT_66946	GO:0016021; GO:0005886
O49923	PHYPADRAFT_184505	ADK_PHYPA	Adenosine kinase (AK) (EC 2.7.1.20) (Adenosine 5'-phosphotransferase)	ADK PHYPADRAFT_184505	GO:0044209; GO:0005524; GO:0004001; GO:0016773
A9SLE5	PHYPADRAFT_213576	ARGJ_PHYPA	Arginine biosynthesis bifunctional protein ArgJ, chloroplastic [Cleaved into: Arginine biosynthesis bifunctional protein ArgJ alpha chain; Arginine biosynthesis bifunctional protein ArgJ beta chain] [Includes: Glutamate N-acetyltransferase (GAT) (EC 2.3.1.35) (Ornithine acetyltransferase) (OATase) (Ornithine transacetylase); Amino-acid acetyltransferase (EC 2.3.1.1) (N-acetylglutamate synthase) (AGS)]	PHYPADRAFT_213576	GO:0004042; GO:0006526; GO:0009570; GO:0004358; GO:0009220
Q6YXK3	PhpapaCp053	ATPA_PHYPA	ATP synthase subunit alpha, chloroplastic (EC 3.6.3.14) (ATP synthase F1 sector subunit alpha) (F-ATPase subunit alpha)	atpA	GO:0005524; GO:0015991; GO:0015986; GO:0009535; GO:0046933; GO:0045261; GO:0046961
P80658	PhpapaCp032	ATPB_PHYPA	ATP synthase subunit beta, chloroplastic (EC 3.6.3.14) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta)	atpB	GO:0005524; GO:0015991; GO:0015986; GO:0009535; GO:0046933; GO:0045261
Q6YXK2	PhpapaCp054	ATPF_PHYPA	ATP synthase subunit b, chloroplastic (ATP synthase F(0) sector subunit b) (ATPase subunit I)	atpF	GO:0015986; GO:0009535; GO:0016021; GO:0046933; GO:0045263
Q6YXK1	PhpapaCp055	ATPH_PHYPA	ATP synthase subunit c, chloroplastic (ATP synthase F(0) sector subunit c) (ATPase subunit III) (F-type ATPase subunit c) (F-ATPase subunit c) (Lipid-binding protein)	atpH	GO:0015991; GO:0015986; GO:0009535; GO:0015078; GO:0016021; GO:0008289; GO:0045263
Q6YXK0	PhpapaCp056	ATPI_PHYPA	ATP synthase subunit a, chloroplastic (ATP synthase F0 sector subunit a) (F-ATPase subunit IV)	atpI	GO:0015986; GO:0009535; GO:0016021; GO:0005886; GO:0046933; GO:0045263
Q6YXR1	PhpapaCp027	CEMA_PHYPA	Chloroplast envelope membrane protein	cemA	GO:0009706; GO:0015078; GO:0016021
Q6YXN5	PhpapaCp048	CHLB_PHYPA	Light-independent protochlorophyllide reductase subunit B (DPOR subunit B) (LI-POR subunit B) (EC 1.3.7.7)	chlB	GO:0051539; GO:0005524; GO:0009507; GO:0036068; GO:0046872; GO:0016730; GO:0016636; GO:0019685
Q6YXQ7	PhpapaCp085	CHLL_PHYPA	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)	chlL	GO:0051539; GO:0005524; GO:0009507; GO:0036068; GO:0046872; GO:0016730; GO:0016636; GO:0019685
Q6YXP4	PhpapaCp084	CHLN_PHYPA	Light-independent protochlorophyllide reductase subunit N (DPOR subunit N) (LI-POR subunit N) (EC 1.3.7.7)	chlN	GO:0051539; GO:0005524; GO:0009507; GO:0036068; GO:0046872; GO:0016730; GO:0016636; GO:0019685
Q6YXM7	PhpapaCp013	CLPP_PHYPA	ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92) (Endopeptidase Clp)	clpP	GO:0009570; GO:0004252
A9TZ63	PHYPADRAFT_109055	CSPL4_PHYPA	CASP-like protein 1U1 (PpCASPL1U1)	PHYPADRAFT_109055	GO:0016021; GO:0005886
A9SU70	PHYPADRAFT_234099	CSPL6_PHYPA	CASP-like protein UU1 (PpCASPLUU1)	PHYPADRAFT_234099	GO:0016021; GO:0005886
A9SHQ9	PHYPADRAFT_164940	CSPL5_PHYPA	CASP-like protein UU2 (PpCASPLUU2)	PHYPADRAFT_164940	GO:0016021; GO:0005886
A9SG36	PHYPADRAFT_233235	CSPLE_PHYPA	CASP-like protein UU3 (PpCASPLUU3)	PHYPADRAFT_233235	GO:0016021; GO:0005886
A9RKK4	PHYPADRAFT_115765	CSPLF_PHYPA	CASP-like protein 5A2 (PpCASPL5A2)	PHYPADRAFT_115765	GO:0016021; GO:0005886
A9RLK6	PHYPADRAFT_55654	CSPLG_PHYPA	CASP-like protein 5A1 (PpCASPL5A1)	PHYPADRAFT_55654	GO:0016021; GO:0005886
Q6YXN2	PhpapaCp008	CYB6_PHYPA	Cytochrome b6	petB	GO:0009535; GO:0045158; GO:0020037; GO:0016021; GO:0005506; GO:0016491; GO:0015979; GO:0022904
A9TND9	PHYPADRAFT_148136	CYNS_PHYPA	Cyanate hydratase (Cyanase) (EC 4.2.1.104) (Cyanate hydrolase) (Cyanate lyase)	CYN PHYPADRAFT_148136	GO:0009440; GO:0008824; GO:0005829; GO:0043565
A9SUX2	PHYPADRAFT_215969	DRE22_PHYPA	Anamorsin homolog 2 (Fe-S cluster assembly protein DRE2 homolog 2)	PHYPADRAFT_215969	GO:0051537; GO:0009055; GO:0016226; GO:0046872; GO:0005758; GO:0043066
A9S6X4	PHYPADRAFT_163171	DRE21_PHYPA	Anamorsin homolog 1 (Fe-S cluster assembly protein DRE2 homolog 1)	PHYPADRAFT_163171	GO:0051537; GO:0009055; GO:0016226; GO:0046872; GO:0005758; GO:0043066
A9S0B8	PHYPADRAFT_207454	FEN11_PHYPA	Flap endonuclease 1-A (FEN-1-A) (EC 3.1.-.-) (Flap structure-specific endonuclease 1-A)	FEN1-A PHYPADRAFT_207454	GO:0008409; GO:0017108; GO:0003677; GO:0043137; GO:0006284; GO:0000287; GO:0005739; GO:0005730; GO:0005654
A9U328	PHYPADRAFT_200726	FEN12_PHYPA	Flap endonuclease 1-B (FEN-1-B) (EC 3.1.-.-) (Flap structure-specific endonuclease 1-B)	FEN1-B PHYPADRAFT_200726	GO:0008409; GO:0017108; GO:0003677; GO:0043137; GO:0006284; GO:0000287; GO:0005739; GO:0005730; GO:0005654
O04166	PHYPADRAFT_190267PHYPADRAFT_190462;	FER_PHYPA	Ferredoxin, chloroplastic	PETF PHYPADRAFT_190267 PHYPADRAFT_190462	GO:0051537; GO:0009507; GO:0009055; GO:0022900; GO:0046872
A9TWD9	PHYPADRAFT_226103	GATB_PHYPA	Glutamyl-tRNA(Gln) amidotransferase subunit B, chloroplastic/mitochondrial (Glu-AdT subunit B) (EC 6.3.5.-)	GATB PHYPADRAFT_226103	GO:0005524; GO:0009507; GO:0050567; GO:0070681; GO:0030956; GO:0032543; GO:0005739
A9S3D3	PHYPADRAFT_180825	GUF1_PHYPA	Translation factor GUF1 homolog, mitochondrial (EC 3.6.5.-) (Elongation factor 4 homolog) (EF-4) (GTPase GUF1 homolog) (Ribosomal back-translocase)	PHYPADRAFT_180825	GO:0005525; GO:0003924; GO:0005743; GO:0005759; GO:0045727; GO:0043022; GO:0006412
A9RFQ5	PHYPADRAFT_158777	GUFP_PHYPA	Translation factor GUF1 homolog, chloroplastic (EC 3.6.5.-) (Elongation factor 4 homolog) (EF-4) (GTPase GUF1 homolog) (Ribosomal back-translocase)	PHYPADRAFT_158777	GO:0005525; GO:0003924; GO:0015995; GO:0009507; GO:0009902; GO:0019288; GO:0006098; GO:0015979; GO:0045727; GO:0006364; GO:0009637; GO:0010218; GO:0010114; GO:0010027; GO:0006412
Q43058	PHYPADRAFT_221821	HEM2_PHYPA	Delta-aminolevulinic acid dehydratase, chloroplastic (ALADH) (EC 4.2.1.24) (Porphobilinogen synthase)	HEMB ALAD PHYPADRAFT_221821	GO:0015995; GO:0009507; GO:0046872; GO:0004655; GO:0006782
Q6YXL2	PhpapaCp063	IF1C_PHYPA	Translation initiation factor IF-1, chloroplastic	infA	GO:0009507; GO:0003743
A9SNJ1	PHYPADRAFT_186863	LYRM9_PHYPA	LYR motif-containing protein PHYPADRAFT_186863	PHYPADRAFT_186863	
Q6YXN6	PhpapaCp047	MATK_PHYPA	Maturase K (Intron maturase)	matK	GO:0003723; GO:0008380; GO:0009507; GO:0006397; GO:0008033
A9RBS1	PHYPADRAFT_111231	MTBC_PHYPA	Probable bifunctional methylthioribulose-1-phosphate dehydratase/enolase-phosphatase E1 [Includes: Methylthioribulose-1-phosphate dehydratase (MTRu-1-P dehydratase) (EC 4.2.1.109); Enolase-phosphatase E1 (EC 3.1.3.77) (2,3-diketo-5-methylthio-1-phosphopentane phosphatase)]	PHYPADRAFT_111231	GO:0043715; GO:0043716; GO:0019284; GO:0019509; GO:0043874; GO:0005737; GO:0000287; GO:0046570; GO:0008270
A9SDW6	PHYPADRAFT_128349	MTND1_PHYPA	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase 1 (EC 1.13.11.54) (Acireductone dioxygenase (Fe(2+)-requiring) 1) (ARD 1) (Fe-ARD 1)	PHYPADRAFT_128349	GO:0019509; GO:0010309; GO:0005737; GO:0005506; GO:0005634
A9SCJ6	PHYPADRAFT_164159	MTND3_PHYPA	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase 3 (EC 1.13.11.54) (Acireductone dioxygenase (Fe(2+)-requiring) 3) (ARD 3) (Fe-ARD 3)	PHYPADRAFT_164159	GO:0019509; GO:0010309; GO:0005737; GO:0005506; GO:0005634
A9SS00	PHYPADRAFT_134384	MTND2_PHYPA	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase 2 (EC 1.13.11.54) (Acireductone dioxygenase (Fe(2+)-requiring) 2) (ARD 2) (Fe-ARD 2)	PHYPADRAFT_134384	GO:0019509; GO:0010309; GO:0005737; GO:0005506; GO:0005634
P80074		MYB1_PHYPA	Myb-related protein Pp1 (Fragment)	PP1	GO:0003677 GO:0005634; GO:0006355; GO:0006351
Q6YXP7	PhpapaCp081	NDHH_PHYPA	NAD(P)H-quinone oxidoreductase subunit H, chloroplastic (EC 1.6.5.-) (NAD(P)H dehydrogenase subunit H) (NADH-plastoquinone oxidoreductase 49 kDa subunit) (NADH-plastoquinone oxidoreductase subunit H)	ndhH	GO:0051287; GO:0009535; GO:0016655; GO:0019684; GO:0048038; GO:0006810
Q6YXP9	PhpapaCp079	NDHI_PHYPA	NAD(P)H-quinone oxidoreductase subunit I, chloroplastic (EC 1.6.5.-) (NAD(P)H dehydrogenase subunit I) (NDH subunit I) (NADH-plastoquinone oxidoreductase subunit I)	ndhI	GO:0051539; GO:0008137; GO:0009535; GO:0005506; GO:0019684; GO:0048038
Q6YXQ8	PhpapaCp036	NDHJ_PHYPA	NAD(P)H-quinone oxidoreductase subunit J, chloroplastic (EC 1.6.5.-) (NAD(P)H dehydrogenase subunit J) (NADH-plastoquinone oxidoreductase subunit J)	ndhJ	GO:0008137; GO:0009535; GO:0019684; GO:0048038; GO:0006810
Q6YXQ9	PhpapaCp035	NDHK_PHYPA	NAD(P)H-quinone oxidoreductase subunit K, chloroplastic (EC 1.6.5.-) (NAD(P)H dehydrogenase subunit K) (NADH-plastoquinone oxidoreductase subunit K)	ndhK	GO:0051539; GO:0008137; GO:0009535; GO:0005506; GO:0019684; GO:0048038; GO:0006810
A9THA7	PHYPADRAFT_170083	NDHM_PHYPA	NAD(P)H-quinone oxidoreductase subunit M, chloroplastic (EC 1.6.5.-) (NAD(P)H dehydrogenase subunit M) (NDH subunit M) (NDH-M) (NADH-plastoquinone oxidoreductase subunit M)	ndhM NDH-M PHYPADRAFT_170083	GO:0010598; GO:0010258; GO:0009535; GO:0016655; GO:0048038; GO:0006810
A9RY03	PHYPADRAFT_121160	NNRD_PHYPA	ATP-dependent (S)-NAD(P)H-hydrate dehydratase (EC 4.2.1.93) (ATP-dependent NAD(P)HX dehydratase)	PHYPADRAFT_121160	GO:0052855; GO:0005524; GO:0047453; GO:0046496
Q6YXP8	PhpapaCp080	NU1C_PHYPA	NAD(P)H-quinone oxidoreductase subunit 1, chloroplastic (EC 1.6.5.-) (NAD(P)H dehydrogenase subunit 1) (NDH subunit 1) (NADH-plastoquinone oxidoreductase subunit 1)	ndhA	GO:0009535; GO:0016021; GO:0016655; GO:0019684; GO:0048038
Q6YXR9	PhpapaCp003	NU2C_PHYPA	NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic (EC 1.6.5.-) (NAD(P)H dehydrogenase, subunit 2) (NADH-plastoquinone oxidoreductase subunit 2)	ndhB	GO:0042773; GO:0008137; GO:0009535; GO:0016021; GO:0019684; GO:0048038; GO:0006810
Q6YXR0	PhpapaCp034	NU3C_PHYPA	NAD(P)H-quinone oxidoreductase subunit 3, chloroplastic (EC 1.6.5.-) (NAD(P)H dehydrogenase subunit 3) (NADH-plastoquinone oxidoreductase subunit 3)	ndhC	GO:0008137; GO:0009535; GO:0016021; GO:0019684; GO:0048038; GO:0006810
Q6YXQ3	PhpapaCp075	NU4C_PHYPA	NAD(P)H-quinone oxidoreductase chain 4, chloroplastic (EC 1.6.5.-) (NAD(P)H dehydrogenase, chain 4) (NADH-plastoquinone oxidoreductase chain 4)	ndhD	GO:0042773; GO:0008137; GO:0009535; GO:0016021; GO:0048038
Q6YXQ1	PhpapaCp077	NU4LC_PHYPA	NAD(P)H-quinone oxidoreductase subunit 4L, chloroplastic (EC 1.6.5.-) (NAD(P)H dehydrogenase subunit 4L) (NADH-plastoquinone oxidoreductase subunit 4L)	ndhE	GO:0042773; GO:0009535; GO:0016021; GO:0016655; GO:0019684; GO:0048038; GO:0006810
Q6YXQ0	PhpapaCp078	NU6C_PHYPA	NAD(P)H-quinone oxidoreductase subunit 6, chloroplastic (EC 1.6.5.-) (NAD(P)H dehydrogenase subunit 6) (NADH-plastoquinone oxidoreductase subunit 6)	ndhG	GO:0008137; GO:0009535; GO:0016021; GO:0048038; GO:0006810
Q6YXR5	PhpapaCp007	PETD_PHYPA	Cytochrome b6-f complex subunit 4 (17 kDa polypeptide)	petD	GO:0009535; GO:0045158; GO:0045156; GO:0016021; GO:0016491; GO:0009767
Q6YXM1	PhpapaCp018	PETG_PHYPA	Cytochrome b6-f complex subunit 5 (Cytochrome b6-f complex subunit PetG) (Cytochrome b6-f complex subunit V)	petG	GO:0009535; GO:0009512; GO:0017004; GO:0045158; GO:0016021; GO:0055114; GO:0015979
Q6YXM0	PhpapaCp019	PETL_PHYPA	Cytochrome b6-f complex subunit 6 (Cytochrome b6-f complex subunit PetL) (Cytochrome b6-f complex subunit VI)	petL	GO:0009535; GO:0009512; GO:0045158; GO:0016021; GO:0055114; GO:0015979
P80659		PGKH_PHYPA	Phosphoglycerate kinase, chloroplastic (EC 2.7.2.3) (Fragment)		GO:0005524 GO:0009507; GO:0004618; GO:0019253
Q6YXQ2	PhpapaCp076	PSAC_PHYPA	Photosystem I iron-sulfur center (EC 1.97.1.12) (9 kDa polypeptide) (PSI-C) (Photosystem I subunit VII) (PsaC)	psaC	GO:0051539; GO:0009535; GO:0009055; GO:0046872; GO:0016491; GO:0009773; GO:0009522
Q6YXM2	PhpapaCp017	PSAJ_PHYPA	Photosystem I reaction center subunit IX (PSI-J)	psaJ	GO:0009535; GO:0016021; GO:0015979; GO:0009522
Q6YXM8	PhpapaCp012	PSBB_PHYPA	Photosystem II CP47 reaction center protein (PSII 47 kDa protein) (Protein CP-47)	psbB	GO:0016168; GO:0009535; GO:0016021; GO:0009767; GO:0009523; GO:0018298
Q6YXN9	PhpapaCp043	PSBC_PHYPA	Photosystem II CP43 reaction center protein (PSII 43 kDa protein) (Protein CP-43)	psbC	GO:0016168; GO:0009535; GO:0045156; GO:0016021; GO:0030076; GO:0046872; GO:0009772; GO:0009523; GO:0018298
Q6YXN8	PhpapaCp044	PSBD_PHYPA	Photosystem II D2 protein (PSII D2 protein) (EC 1.10.3.9) (Photosystem Q(A) protein)	psbD	GO:0016168; GO:0009535; GO:0045156; GO:0016021; GO:0005506; GO:0016491; GO:0009772; GO:0009523; GO:0018298
Q6YXL9	PhpapaCp020	PSBE_PHYPA	Cytochrome b559 subunit alpha (PSII reaction center subunit V)	psbE	GO:0009535; GO:0009055; GO:0020037; GO:0016021; GO:0005506; GO:0009767; GO:0009539
Q6YXL8	PhpapaCp021	PSBF_PHYPA	Cytochrome b559 subunit beta (PSII reaction center subunit VI)	psbF	GO:0009535; GO:0009055; GO:0020037; GO:0016021; GO:0005506; GO:0009767; GO:0009539
Q6YXN3	PhpapaCp050	PSBI_PHYPA	Photosystem II reaction center protein I (PSII-I) (PSII 4.8 kDa protein)	psbI	GO:0009535; GO:0016021; GO:0015979; GO:0009539
Q6YXL6	PhpapaCp023	PSBJ_PHYPA	Photosystem II reaction center protein J (PSII-J)	psbJ	GO:0009535; GO:0016021; GO:0015979; GO:0009539
Q6YXN4	PhpapaCp049	PSBK_PHYPA	Photosystem II reaction center protein K (PSII-K)	psbK	GO:0009535; GO:0016021; GO:0015979; GO:0009539
Q6YXL7	PhpapaCp022	PSBL_PHYPA	Photosystem II reaction center protein L (PSII-L)	psbL	GO:0009535; GO:0016021; GO:0015979; GO:0009539
Q6YXR8	PhpapaCp004	PSBM_PHYPA	Photosystem II reaction center protein M (PSII-M)	psbM	GO:0009535; GO:0016021; GO:0019684; GO:0009523
P80660		PSBP1_PHYPA	Oxygen-evolving enhancer protein 2 (OEE2) (20 kDa subunit of oxygen evolving system of photosystem II) (Fragments)		GO:0009535 GO:0015979; GO:0009523
P80661		PSBP2_PHYPA	Oxygen-evolving enhancer protein 2 (OEE2) (22 kDa subunit of oxygen evolving system of photosystem II) (Fragments)		GO:0009535 GO:0015979; GO:0009523
P80662		PSBP3_PHYPA	Oxygen-evolving enhancer protein 2 (OEE2) (24 kDa subunit of oxygen evolving system of photosystem II) (Fragment)		GO:0009535 GO:0015979; GO:0009523
A9SCV9	PHYPADRAFT_210943	PURA1_PHYPA	Adenylosuccinate synthetase 1, chloroplastic (AMPSase 1) (AdSS 1) (EC 6.3.4.4) (IMP--aspartate ligase 1)	PURA1 PHYPADRAFT_210943	GO:0044208; GO:0005525; GO:0004019; GO:0009507; GO:0000287
A9TIK2	PHYPADRAFT_222623	PURA2_PHYPA	Adenylosuccinate synthetase 2, chloroplastic (AMPSase 2) (AdSS 2) (EC 6.3.4.4) (IMP--aspartate ligase 2)	PURA2 PHYPADRAFT_222623	GO:0044208; GO:0005525; GO:0004019; GO:0009507; GO:0000287
A9SVH7	PHYPADRAFT_84532	RBR_PHYPA	Retinoblastoma-related protein	RBR RBL1501 PHYPADRAFT_84532	GO:0007049; GO:0005634; GO:0051726; GO:0006357; GO:0006351
P80657		RBS_PHYPA	Ribulose bisphosphate carboxylase small chain (RuBisCO small subunit) (EC 4.1.1.39) (Fragment)	RBCS	GO:0009507 GO:0004497; GO:0009853; GO:0019253; GO:0016984
Q6YXL0	PhpapaCp065	RK14_PHYPA	50S ribosomal protein L14, chloroplastic	rpl14	GO:0009507; GO:0015934; GO:0019843; GO:0003735; GO:0006412
Q6YXK9	PhpapaCp066	RK16_PHYPA	50S ribosomal protein L16, chloroplastic	rpl16	GO:0009507; GO:0019843; GO:0005840; GO:0003735; GO:0006412
Q6YXM5	PhpapaCp014	RK20_PHYPA	50S ribosomal protein L20, chloroplastic	rpl20	GO:0009507; GO:0019843; GO:0000027; GO:0005840; GO:0003735; GO:0006412
Q6YXQ5	PhpapaCp073	RK21_PHYPA	50S ribosomal protein L21, chloroplastic	rpl21	GO:0009507; GO:0019843; GO:0005840; GO:0003735; GO:0006412
Q6YXK7	PhpapaCp068	RK22_PHYPA	50S ribosomal protein L22, chloroplastic	rpl22	GO:0009507; GO:0015934; GO:0019843; GO:0003735; GO:0006412
Q6YXK5	PhpapaCp071	RK23_PHYPA	50S ribosomal protein L23, chloroplastic	rpl23	GO:0009507; GO:0000166; GO:0019843; GO:0005840; GO:0003735; GO:0006412
P60407	PhpapaCp070	RK2_PHYPA	50S ribosomal protein L2, chloroplastic	rpl2	GO:0009507; GO:0015934; GO:0019843; GO:0003735; GO:0016740; GO:0006412
Q6YXQ4	PhpapaCp074	RK32_PHYPA	50S ribosomal protein L32, chloroplastic	rpl32	GO:0009507; GO:0015934; GO:0003735; GO:0006412
Q6YXM3	PhpapaCp016	RK33_PHYPA	50S ribosomal protein L33, chloroplastic	rpl33	GO:0009507; GO:0005840; GO:0003735; GO:0006412
Q6YXJ7	PhpapaCp062	RK36_PHYPA	50S ribosomal protein L36, chloroplastic	rpl36	GO:0009507; GO:0005840; GO:0003735; GO:0006412
P60283	PhpapaCp060	RPOB_PHYPA	DNA-directed RNA polymerase subunit beta (EC 2.7.7.6) (PEP) (Plastid-encoded RNA polymerase subunit beta) (RNA polymerase subunit beta)	rpoB	GO:0003677; GO:0003899; GO:0009507; GO:0032549; GO:0006351
P60288	PhpapaCp059	RPOC1_PHYPA	DNA-directed RNA polymerase subunit beta' (EC 2.7.7.6) (PEP) (Plastid-encoded RNA polymerase subunit beta') (RNA polymerase subunit beta')	rpoC1	GO:0003677; GO:0003899; GO:0009507; GO:0006351
P60290	PhpapaCp058	RPOC2_PHYPA	DNA-directed RNA polymerase subunit beta'' (EC 2.7.7.6) (PEP) (Plastid-encoded RNA polymerase subunit beta'') (RNA polymerase subunit beta'')	rpoC2	GO:0003677; GO:0003899; GO:0009507; GO:0006351
Q6YXJ8	PhpapaCp061	RR11_PHYPA	30S ribosomal protein S11, chloroplastic	rps11	GO:0009507; GO:0019843; GO:0005840; GO:0003735; GO:0006412
Q6YXM6	PhpapaCp001	RR12_PHYPA	30S ribosomal protein S12, chloroplastic	rps12	GO:0009507; GO:0019843; GO:0015935; GO:0003735; GO:0006412
Q6YXP6	PhpapaCp082	RR15_PHYPA	30S ribosomal protein S15, chloroplastic	rps15	GO:0009507; GO:0005840; GO:0003735; GO:0006412
Q6YXM4	PhpapaCp015	RR18_PHYPA	30S ribosomal protein S18, chloroplastic	rps18	GO:0009507; GO:0019843; GO:0005840; GO:0003735; GO:0006412
Q6YXK6	PhpapaCp069	RR19_PHYPA	30S ribosomal protein S19, chloroplastic	rps19	GO:0009507; GO:0019843; GO:0015935; GO:0003735; GO:0006412
