Gene	XLOC	TAIR_ID	Annotation	Protoplasts_FPKM	Protonema_FPKM	Gametophores_FPKM	Gametophores_Protoplasts_fold_change	Protonema_Protoplasts_fold_change	Gametophores_Protonema_fold_change
Pp1s290_20V6	XLOC_018522	N/A	N/A	19.2842	28.5105	30.7757	0.6743723741147479	0.5640740432344498	0
Pp1s184_49V6	XLOC_009994	N/A	N/A	1.37527	0.403583	7.3612	2.420226085455077	-1.768777573024609	4.1890036584796855
Pp1s246_137V6	XLOC_015614	N/A	N/A	0.0	0.0	22.6636	+Inf	0	+Inf
Pp1s246_146V6	XLOC_015616	AT4G37740	growth-regulating factor 2	5.89072	9.98539	22.2672	1.9184042721345278	0.7613747963128342	1.1570294758216935
Pp1s246_119V6	XLOC_015610	AT5G07350	TUDOR-SN protein 1	52.5355	62.4472	20.9695	-1.325000167748756	0	-1.5743444238966635
Pp1s246_132V6	XLOC_015613	N/A	N/A	50.5183	14.9696	21.156	0	-1.7547704196477916	0
Pp1s95_40V6	XLOC_035664	AT1G32750	HAC13 protein (HAC13)	4.03608	1.76023	3.72779	0	-1.1971908201372017	1.0825566394547426
Pp1s31_113V6	XLOC_019948	N/A	N/A	7.61192	4.63329	11.9957	0.656185043143833	-0.7162234149886054	1.372408458132438
Pp1s50_57V6	XLOC_027829	AT1G68450	VQ motif-containing protein	40.4815	4.33239	0.0195409	0	-3.2240277238609587	0
Pp1s50_56V6	XLOC_027828	AT3G56840	FAD-dependent oxidoreductase family protein	72.4716	25.5131	32.4821	-1.1577708387338916	-1.5061775399455077	0
Pp1s12_126V6	XLOC_003037	AT1G48130	1-cysteine peroxiredoxin 1	7.64023	9.817	823.479	6.75197197969373	0	6.390305833882478
Pp1s50_50V6	XLOC_027826	AT3G52930	Aldolase superfamily protein	20.8297	18.2582	8.05864	-1.3700337701838414	0	-1.1799362521168286
Pp1s50_49V6	XLOC_027825	AT5G13800	pheophytinase	8.50202	14.8676	16.1774	0.9281022014172646	0.8062942215005228	0
Pp1s78_79V6	XLOC_032996	N/A	N/A	14.4824	27.2236	10.4908	0	0.9105571555281953	-1.3757331607325725
Pp1s50_24V6	XLOC_027821	AT1G27340	Galactose oxidase/kelch repeat superfamily protein	1.24479	2.07488	7.94872	2.6748201831039355	0	1.9376946576396092
Pp1s111_85V6	XLOC_002101	AT5G01300	PEBP (phosphatidylethanolamine-binding protein) family protein	605.968	112.584	911.661	0.5892558499942884	-2.4282397979900754	3.017495647984364
Pp1s27_223V6	XLOC_017106	N/A	N/A	921.941	519.288	424.33	-1.1194877474075584	0	0
Pp1s111_120V6	XLOC_002103	AT5G57500	Galactosyltransferase family protein	9.3346	40.4432	1.79153	-2.381396000030691	2.1152370450782105	-4.496633045108902
Pp1s27_216V6	XLOC_017104	N/A	N/A	2.38809	4.53342	10.0095	2.067440796065281	0.9247426178059832	1.1426981782592982
Pp1s111_138V6	XLOC_002104	AT1G62870	N/A	7.21716	4.74964	3.37252	-1.097604239990597	-0.603613070578141	0
Pp1s27_205V6	XLOC_017101	AT1G55080	N/A	58.8583	11.5522	29.5492	-0.9941268014837426	-2.3490782490953523	1.35495144761161
Pp1s111_143V6	XLOC_002106	AT5G59500	protein C-terminal S-isoprenylcysteine carboxyl O-methyltransferases	15.0832	31.5158	24.398	0.6938203509365726	1.0631327463891116	0
Pp1s357_50V6	XLOC_022521	AT5G12310	RING/U-box superfamily protein	16.2277	14.7367	38.0605	1.2298359774587018	0	1.368881017546526
Pp1s357_51V6	XLOC_022520	N/A	N/A	0.673648	2.77893	7.12802	3.403434540093528	2.0444626494288105	1.3589718906647175
Pp1s58_197V6	XLOC_029311	AT3G51130	N/A	20.2145	16.5989	33.207	0.7160968728057379	0	1.0003997540678116
Pp1s357_53V6	XLOC_022522	AT2G24490	replicon protein A2	14.3703	20.2578	18.1498	0	0.49538732538136604	0
Pp1s58_210V6	XLOC_029317	N/A	N/A	1.43308	0.491069	41.9405	4.87115300713465	-1.5451214919297236	6.416274499064373
Pp1s357_58V6	XLOC_022524	N/A	N/A	4.11731	8.27023	18.0561	2.1327123326550925	1.006225376192135	1.1264869564629578
Pp1s27_240V6	XLOC_017109	AT5G45030	Trypsin family protein	27.7344	19.8943	49.8018	0.844521372105916	-0.479321377531073	1.323842749636989
Pp1s58_203V6	XLOC_029314	AT1G43580	Sphingomyelin synthetase family protein	12.3645	16.8884	10.6327	0	0	-0.6675246621194469
Pp1s22_269V6	XLOC_013530	AT4G39470	Tetratricopeptide repeat (TPR)-like superfamily protein	6.66162	15.8793	18.3427	1.4612610501433931	1.2532023506529344	0
Pp1s4_323V6	XLOC_024598	AT3G27090	DCD (Development and Cell Death) domain protein	25.0094	9.47672	116.594	2.220951197081798	-1.4000107287129502	3.6209619257947483
Pp1s4_328V6	XLOC_024599	AT1G52260	PDI-like 1-5	6.02678	8.11108	15.5314	1.365728572976925	0	0.9372219511659563
Pp1s15_82V6	XLOC_006624	N/A	N/A	85.0138	51.7128	0.0	-Inf	-0.717175626071371	-Inf
Pp1s4_301V6	XLOC_024594	N/A	N/A	11.4385	3.12777	17.8027	0	-1.8706915418141583	2.508889727020906
Pp1s357_48V6	XLOC_022518	N/A	N/A	0.085813	0.0	54.2242	0	0	+Inf
Pp1s4_295V6	XLOC_024593	AT4G37100	Pyridoxal phosphate (PLP)-dependent transferases superfamily protein	8.43403	13.12	0.602561	-3.807042948867411	0.6374736615243618	-4.444516610391773
Pp1s4_293V6	XLOC_024591	AT1G24620	EF hand calcium-binding protein family	23.111	21.6826	0.49353	-5.549298091693353	0	-5.457256169183389
Pp1s47_90V6	XLOC_026998	AT3G24120	Homeodomain-like superfamily protein	10.8456	15.9119	26.554	1.2918193318875215	0.5529962465895408	0.7388230852979806
Pp1s47_70V6	XLOC_026994	AT1G66080	N/A	57.0901	19.2632	29.9462	-0.9308676444332025	-1.5673932060032925	0.6365255615700899
Pp1s47_80V6	XLOC_026996	N/A	N/A	5.72877	0.501483	0.363874	0	-3.513952717069796	0
Pp1s16_334V6	XLOC_007761	AT1G73500	MAP kinase kinase 9	8.60256	13.4175	9.77395	0	0.6412779336820486	0
Pp1s47_66V6	XLOC_026991	N/A	N/A	3.80815	16.0543	1.16844	0	2.075797550520848	-3.780304204012055
Pp1s47_67V6	XLOC_026992	AT5G33290	xylogalacturonan deficient 1	1.15445	6.96137	0.0	-Inf	2.5921655665138412	-Inf
Pp1s47_69V6	XLOC_026993	N/A	N/A	41.8245	25.1907	6.23506	-2.7458729450650607	-0.7314570810714871	-2.014415863993573
Pp1s442_19V6	XLOC_026254	N/A	N/A	48.4147	29.9956	48.5689	0	-0.6906942649495261	0.6952819223011995
Pp1s13_123V6	XLOC_004291	AT2G46100	Nuclear transport factor 2 (NTF2) family protein	24.1298	34.5462	13.4272	-0.8456574696757883	0	-1.3633685381702974
Pp1s120_113V6	XLOC_003319	AT2G32720	cytochrome B5 isoform B	151.551	108.387	29.5519	-2.3584805770375357	-0.4836116423052215	-1.8748689347323142
Pp1s120_103V6	XLOC_003318	AT2G24360	Protein kinase superfamily protein	17.7198	18.8258	12.4469	0	0	-0.5969247010520431
Pp1s49_85V6	XLOC_027444	N/A	N/A	2.40134	1.91761	6.24597	1.3790859541922988	0	1.7036163024498119
Pp1s120_75V6	XLOC_003310	AT3G53680	Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger domain	45.3774	11.9843	10.7526	-2.0772884004084204	-1.9208283049399502	0
Pp1s120_100V6	XLOC_003317	AT3G11780	MD-2-related lipid recognition domain-containing protein / ML domain-containing protein	202.686	135.872	154.052	0	-0.5769982604289503	0
Pp1s65_130V6	XLOC_030784	AT1G77290	Glutathione S-transferase family protein	58.6755	52.1522	28.6823	-1.0325975139442098	0	-0.8625673962951601
Pp1s120_82V6	XLOC_003315	AT2G46060	transmembrane protein-related	64.7161	19.7762	2.59851	-4.638368152813632	-1.7103594303079601	-2.9280087225056715
Pp1s120_81V6	XLOC_003314	AT2G02050	NADH-ubiquinone oxidoreductase B18 subunit, putative	104.344	165.303	80.601	0	0.6637652627295738	-1.0362432644086785
Pp1s65_132V6	XLOC_030785	AT1G19660	Wound-responsive family protein	1.76725	2.78222	1.15025	0	0	-1.2742890469616304
-	XLOC_032620	N/A	N/A	6.04569	24.401	3.55486	0	2.012961363364892	-2.779075624578516
Pp1s95_69V6	XLOC_035668	AT3G25730	ethylene response DNA binding factor 3	13.6078	10.2723	17.4319	0	0	0.7629705836697265
Pp1s84_213V6	XLOC_034066	AT3G19920	N/A	1.28985	1.42653	6.35342	2.300330092617896	0	2.155023306084833
Pp1s75_4V6	XLOC_032629	AT4G32620	Enhancer of polycomb-like transcription factor protein	9.17852	3.23447	5.08258	-0.8527005252076939	-1.504732211842635	0.6520316866349409
Pp1s11_404V6	XLOC_001978	AT3G52760	Integral membrane Yip1 family protein	35.4518	10.275	33.3734	0	-1.7867204856071226	1.6995602783270156
Pp1s65_192V6	XLOC_030719	N/A	N/A	140.886	84.9946	10.7043	-3.7182658966280213	-0.7290851666599073	-2.989180729968114
Pp1s135_29V6	XLOC_004860	AT1G12900	glyceraldehyde 3-phosphate dehydrogenase A subunit 2	33.4148	22.2333	22.2299	-0.5879857806527008	-0.5877651414207706	0
Pp1s98_142V6	XLOC_036011	AT2G45770	signal recognition particle receptor protein, chloroplast (FTSY)	14.742	21.0123	18.1378	0	0.5113018240831276	0
Pp1s61_301V6	XLOC_030247	AT5G51030	NAD(P)-binding Rossmann-fold superfamily protein	0.0	0.0611385	4.00288	+Inf	0	0
Pp1s61_297V6	XLOC_030246	AT2G36330	Uncharacterised protein family (UPF0497)	20.2597	10.2469	11.5638	-0.8089972490467597	-0.9834252948149497	0
Pp1s61_292V6	XLOC_030245	AT1G52280	RAB GTPase homolog G3D	5.41091	2.59294	9.6258	0.8310352029426267	-1.061282422118651	1.8923176250612774
Pp1s65_181V6	XLOC_030715	AT4G38225	N/A	26.651	24.9153	18.4794	-0.5282717516216859	0	0
Pp1s61_286V6	XLOC_030242	N/A	N/A	21.1258	11.2886	1.50297	-3.813117857194124	-0.9041393992440007	-2.908978457950124
Pp1s65_185V6	XLOC_030717	AT3G62190	Chaperone DnaJ-domain superfamily protein	85.6016	39.0708	69.1246	0	-1.1315469666950813	0.8231084310556867
Pp1s65_183V6	XLOC_030716	AT5G66750	chromatin remodeling 1	6.65228	9.29096	2.20138	-1.5954406908456917	0.4819787784318098	-2.0774194692775017
Pp1s25_193V6	XLOC_015912	N/A	N/A	9.7115	8.61739	48.587	2.322804305172339	0	2.49524747314285
Pp1s25_195V6	XLOC_015912	AT5G51340	Tetratricopeptide repeat (TPR)-like superfamily protein	9.7115	8.61739	48.587	2.322804305172339	0	2.49524747314285
Pp1s98_145V6	XLOC_036013	AT1G26760	SET domain protein 35	26.6101	22.2802	6.84063	-1.959772828066188	0	-1.703561079292549
Pp1s114_84V6	XLOC_002411	AT1G01350	Zinc finger (CCCH-type/C3HC4-type RING finger) family protein	28.595	11.7656	10.6463	-1.4254107801717206	-1.2811880112473624	0
Pp1s3_20V6	XLOC_019045	AT4G04670	Met-10+ like family protein / kelch repeat-containing protein	4.60803	3.48529	7.22473	0.6487935634472948	0	1.051664969545709
Pp1s98_147V6	XLOC_036014	N/A	N/A	0.0	0.0	3.28587	+Inf	0	+Inf
Pp1s84_209V6	XLOC_034065	AT1G72680	cinnamyl-alcohol dehydrogenase	123.133	52.1646	69.6443	-0.8221402739079696	-1.2390744594720104	0
Pp1s14_168V6	XLOC_005370	AT1G49820	S-methyl-5-thioribose kinase	12.4059	26.0275	60.9836	2.2973949174516877	1.0690103433235867	1.2283845741281014
-	XLOC_030287	N/A	N/A	0.0	0.0287351	10.1239	+Inf	0	0
Pp1s12_109V6	XLOC_003034	AT5G38510	Rhomboid-related intramembrane serine protease family protein	13.8496	24.1094	27.4007	0.9843684404975807	0.7997514382822664	0
Pp1s98_148V6	XLOC_036015	AT2G32170	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	2.51628	5.34956	3.90282	0	1.0881277674985437	0
Pp1s448_23V6	XLOC_026338	AT3G54290	N/A	24.0549	6.12091	10.2549	-1.2300173783844235	-1.9745127414588302	0.7444953630744067
Pp1s448_24V6	XLOC_026338	N/A	N/A	24.0549	6.12091	10.2549	-1.2300173783844235	-1.9745127414588302	0.7444953630744067
-	XLOC_026339	N/A	N/A	0.899063	6.7672	0.0	0	0	-Inf
Pp1s120_130V6	XLOC_003272	AT5G23340	RNI-like superfamily protein	16.7924	10.4547	13.8289	0	-0.6836567735218589	0
Pp1s2_482V6	XLOC_011627	AT3G48680	gamma carbonic anhydrase-like 2	8.99256	12.9587	15.3554	0.7719423088117227	0	0
Pp1s2_438V6	XLOC_011620	N/A	N/A	6.54916	7.47635	0.0	-Inf	0	-Inf
Pp1s149_88V6	XLOC_006355	AT5G39990	Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein	125.691	58.6176	5.61183	-4.485266234402852	-1.1004755448688963	-3.384790689533956
Pp1s2_451V6	XLOC_011622	AT5G51100	Fe superoxide dismutase 2	5.75981	13.0002	16.7724	1.5419960150175547	1.1744406912949164	0
-	XLOC_006357	N/A	N/A	0.0	0.0	8.17	+Inf	0	+Inf
Pp1s448_18V6	XLOC_026330	N/A	N/A	8.0057	0.0	0.0	-Inf	-Inf	0
Pp1s120_163V6	XLOC_003279	AT1G03530	nuclear assembly factor 1	14.2318	9.02651	27.3279	0.9412564592641177	0	1.5981344022938073
Pp1s3_24V6	XLOC_018900	AT1G61290	syntaxin of plants 124	98.4488	31.8261	8.27352	-3.572800455999007	-1.6291632425051101	-1.9436372134938966
Pp1s36_236V6	XLOC_022690	AT1G17820	Putative integral membrane protein conserved region (DUF2404)	3.76111	5.69991	8.14013	1.1138933338488466	0.599780638659274	0
Pp1s448_20V6	XLOC_026336	AT1G08040	Protein of unknown function (DUF707)	51.2594	13.056	4.02989	-3.669004227181745	-1.973103629315314	-1.6959005978664312
Pp1s448_22V6	XLOC_026337	N/A	N/A	10.1886	0.186851	3.46878	-1.554455577823899	0	0
Pp1s11_74V6	XLOC_001812	AT5G32440	Ubiquitin system component Cue protein	26.0025	13.6838	12.4684	-1.0603739931982068	-0.9261814140648486	0
Pp1s435_12V6	XLOC_025972	AT2G22370	N/A	31.5979	20.7121	14.4558	-1.1281802285457223	-0.6093548440760228	0
Pp1s11_63V6	XLOC_001810	N/A	N/A	2.39608	0.62597	0.963833	-1.3138209749840775	-1.936510655566947	0
Pp1s438_9V6	XLOC_025977	AT3G19570	Family of unknown function (DUF566) 	0.580924	0.403516	1.12943	0	0	1.4848970731892874
Pp1s11_103V6	XLOC_001817	AT4G26760	microtubule-associated protein 65-2	0.0714739	0.0499651	1.97181	4.7859602211221945	0	0
Pp1s11_80V6	XLOC_001814	N/A	N/A	46.5583	33.5627	12.089	-1.945343471526451	0	-1.4731638701007768
Pp1s135_65V6	XLOC_004869	AT3G48190	ataxia-telangiectasia mutated	2.9948	4.75861	10.7089	1.8382787318435891	0.6680805612495088	1.1701981705940805
Pp1s84_202V6	XLOC_034064	AT2G29050	RHOMBOID-like 1	2.2129	5.84964	5.91269	1.4178763813114854	1.402409582887868	0
Pp1s438_12V6	XLOC_025979	AT3G58560	DNAse I-like superfamily protein	2.15046	0.986167	5.55973	1.3703695258801878	-1.1247414144248487	2.4951109403050364
Pp1s438_10V6	XLOC_025978	AT2G39960	Microsomal signal peptidase 25 kDa subunit (SPC25)	51.1512	50.9062	82.8605	0.6959164401174553	0	0.702843149283255
Pp1s30_285V6	XLOC_019369	N/A	N/A	27.8375	44.2431	52.1329	0.9051644620378706	0.6684228220247429	0
Pp1s236_80V6	XLOC_014908	AT5G19730	Pectin lyase-like superfamily protein	0.926521	2.10796	0.0	0	1.1859519100538272	-Inf
Pp1s289_66V6	XLOC_018312	N/A	N/A	5.89501	3.48022	0.0804376	0	-0.7603157524726742	0
Pp1s30_262V6	XLOC_019361	AT4G18480	P-loop containing nucleoside triphosphate hydrolases superfamily protein	54.1231	33.9567	14.1876	-1.9316139135470054	-0.6725482138254608	-1.2590656997215446
Pp1s236_78V6	XLOC_014907	AT3G19210	homolog of RAD54	0.581596	2.30239	0.276612	0	1.9850429790418174	-3.0571965810786583
Pp1s30_266V6	XLOC_019363	AT5G50900	ARM repeat superfamily protein	14.6985	8.29281	0.0787417	-7.544325358423682	-0.8257359901277705	-6.71858936829591
Pp1s236_54V6	XLOC_014905	AT2G44970	alpha/beta-Hydrolases superfamily protein	13.5573	9.29043	13.4219	0	-0.5452526103513878	0.5307716362240088
Pp1s236_47V6	XLOC_014902	AT2G45280	RAS associated with diabetes protein 51C	5.00157	10.1863	16.9198	1.7582595800884602	1.0261771771140498	0.7320824029744103
Pp1s236_48V6	XLOC_014903	AT2G26260	3beta-hydroxysteroid-dehydrogenase/decarboxylase isoform 2	26.4171	46.6017	13.9267	-0.9236186552412997	0.8189104844285996	-1.7425291396698994
Pp1s110_89V6	XLOC_002032	AT5G48385	FRIGIDA-like protein	0.523446	1.54167	1.17994	1.1726008824346759	1.5583813663326516	0
Pp1s15_297V6	XLOC_006682	AT4G30870	Restriction endonuclease, type II-like superfamily protein	0.504766	1.53393	0.896581	0	1.6035460060632116	0
Pp1s15_295V6	XLOC_006680	N/A	N/A	2.54574	2.19269	14.0369	2.463067369287779	0	2.6784505917244887
Pp1s15_323V6	XLOC_006687	AT1G54130	RELA/SPOT homolog 3	104.518	33.3372	20.632	-2.3407958400491657	-1.6485465812036828	-0.6922492588454829
Pp1s162_156V6	XLOC_007986	AT1G74310	heat shock protein 101	3.10999	0.0	0.0	-Inf	-Inf	0
Pp1s44_164V6	XLOC_026051	N/A	N/A	312.469	64.7568	6.79561	-5.522966198460627	-2.270609466540524	-3.2523567319201026
Pp1s61_319V6	XLOC_030168	AT5G01250	alpha 1,4-glycosyltransferase family protein	0.284455	1.16605	3.98918	0	0	1.7744625699080143
Pp1s162_162V6	XLOC_007987	AT1G14830	DYNAMIN-like 1C	21.9482	30.3878	5.39995	-2.0230846733040093	0.4693896038188066	-2.492474277122816
Pp1s289_68V6	XLOC_018314	N/A	N/A	20.8907	12.1441	27.6919	0	-0.7826052589383489	1.1892084677509
Pp1s44_176V6	XLOC_026058	AT4G11630	Ribosomal protein L19 family protein	66.523	133.886	62.0811	0	1.0090799741855276	-1.1087790852460306
Pp1s217_52V6	XLOC_013272	AT1G52730	Transducin/WD40 repeat-like superfamily protein	42.5302	23.4301	21.8264	-0.9624134444134594	-0.8601245276547557	0
Pp1s39_314V6	XLOC_024084	N/A	N/A	8.99399	0.0	0.0	-Inf	-Inf	0
Pp1s39_313V6	XLOC_024085	AT2G26490	Transducin/WD40 repeat-like superfamily protein	1.34616	0.526908	0.546943	-1.299387499349728	-1.3532269046579308	0
Pp1s121_122V6	XLOC_003401	AT1G06550	ATP-dependent caseinolytic (Clp) protease/crotonase family protein	13.6765	15.9754	5.7743	-1.243981103508339	0	-1.4681340856235159
Pp1s162_138V6	XLOC_007981	AT3G51710	D-mannose binding lectin protein with Apple-like carbohydrate-binding domain	8.7636	17.0841	7.29252	0	0.9630587062635257	-1.2281649048976953
Pp1s39_322V6	XLOC_024086	AT5G49810	methionine S-methyltransferase	26.7942	16.8521	5.15278	-2.378497839368929	-0.6689923598868251	-1.7095054794821039
Pp1s342_36V6	XLOC_021890	AT4G11400	ARID/BRIGHT DNA-binding domain;ELM2 domain protein	22.2841	3.9402	2.8926	-2.9455759545416105	-2.4996739290357586	0
Pp1s39_323V6	XLOC_024087	AT2G14740	vaculolar sorting receptor 3	48.448	29.9293	28.9562	-0.7425648243433502	-0.6948785736095692	0
Pp1s369_5V6	XLOC_023008	AT5G39960	GTP binding;GTP binding	1.37511	2.17993	3.50528	1.3499826609675352	0	0
Pp1s39_296V6	XLOC_024080	AT5G05370	Cytochrome b-c1 complex, subunit 8 protein	145.134	113.021	103.793	-0.4836763849345927	0	0
Pp1s160_146V6	XLOC_007836	AT5G67320	WD-40 repeat family protein	26.9229	3.25663	12.784	-1.0744945048267847	-3.047382094951581	1.9728875901247962
-	XLOC_010578	N/A	N/A	0.404466	3.496	1.93271	2.2565348419157027	3.111614847016253	0
Pp1s30_295V6	XLOC_019265	AT3G15354	SPA1-related 3	5.96393	8.73395	11.6116	0.9612315499325199	0.5503709475389622	0
Pp1s24_141V6	XLOC_015053	N/A	N/A	1.29254	0.0	0.791982	0	-Inf	0
Pp1s24_140V6	XLOC_015052	AT2G18196	Heavy metal transport/detoxification superfamily protein 	56.4723	71.7186	106.712	0.9181071239132819	0	0.5733031884054708
-	XLOC_010571	N/A	N/A	0.0	4.04422	8.6796	+Inf	+Inf	0
Pp1s24_136V6	XLOC_015050	N/A	N/A	28.3119	13.7834	8.67391	-1.7066541920960727	-1.0384767645378907	-0.6681774275581819
Pp1s24_148V6	XLOC_015056	AT4G24970	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase family protein	0.0	0.0842904	5.98012	+Inf	0	0
Pp1s24_149V6	XLOC_015056	N/A	N/A	0.0	0.0842904	5.98012	+Inf	0	0
Pp1s24_147V6	XLOC_015055	N/A	N/A	0.0	0.0	4.74686	+Inf	0	+Inf
Pp1s24_143V6	XLOC_015054	AT2G21540	SEC14-like 3	2.34757	8.41422	7.05029	1.5865144242951938	1.8416613627155796	0
Pp1s154_62V6	XLOC_007087	AT1G78130	Major facilitator superfamily protein	3.59896	9.19539	10.1448	1.4950884504278632	1.3533306965454523	0
Pp1s154_59V6	XLOC_007086	AT2G15220	Plant basic secretory protein (BSP) family protein	5.36283	11.5791	31.6411	2.5607333296195933	1.110456696185604	1.4502766334339892
Pp1s13_42V6	XLOC_004269	AT5G37055	HIT-type Zinc finger family protein	10.3636	7.18058	15.0649	0	0	1.0690188111525178
Pp1s154_52V6	XLOC_007083	AT2G32950	Transducin/WD40 repeat-like superfamily protein	4.02283	2.21944	2.57247	0	-0.8580150650850931	0
Pp1s32_338V6	XLOC_020643	AT2G27030	calmodulin 5	464.407	340.323	225.812	-1.0402675628881424	-0.44848506204116984	-0.5917825008469721
Pp1s13_20V6	XLOC_004263	AT1G58290	Glutamyl-tRNA reductase family protein	9.66777	21.9061	4.61093	-1.0681253873346717	1.1800776040862886	-2.2482029914209605
Pp1s342_11V6	XLOC_021897	N/A	N/A	11.189	0.415707	0.614692	-4.1860735841327115	-4.750370251761427	0
Pp1s13_29V6	XLOC_004266	AT1G17790	DNA-binding bromodomain-containing protein	11.1309	5.06031	10.0569	0	-1.1372725741598504	0.990887994798032
Pp1s32_330V6	XLOC_020640	AT1G07705	NOT2 / NOT3 / NOT5 family	10.5678	12.5764	15.7458	0.5752919902765783	0	0
Pp1s97_64V6	XLOC_035846	AT3G25030	RING/U-box superfamily protein	0.33786	1.84442	1.03085	1.609336958163567	2.448669752999416	-0.8393327948358492
Pp1s158_124V6	XLOC_007462	AT4G00850	GRF1-interacting factor 3	3.27872	5.763	4.19756	0	0.8136873177068444	0
Pp1s97_53V6	XLOC_035843	N/A	N/A	1378.8	954.558	3.65373	-8.559827461535075	0	-8.029319022868942
Pp1s97_59V6	XLOC_035843	AT1G02335	germin-like protein subfamily 2 member 2 precursor	1378.8	954.558	3.65373	-8.559827461535075	0	-8.029319022868942
-	XLOC_005029	N/A	N/A	23.145	4.84787	1.08277	-4.4179018366385066	-2.2552776453543966	0
-	XLOC_005028	N/A	N/A	17.4617	4.98922	0.0	-Inf	0	-Inf
Pp1s136_223V6	XLOC_005026	AT5G18630	alpha/beta-Hydrolases superfamily protein	8.88974	7.70604	17.9066	1.0102783028738311	0	1.2164298530937279
Pp1s136_219V6	XLOC_005024	N/A	N/A	141.224	8.47713	0.357382	-8.62630259668652	-4.0582655632990985	-4.568037033387421
Pp1s136_206V6	XLOC_005023	AT4G29735	N/A	36.0406	53.3761	26.263	0	0.5665708676016219	-1.0231621733206113
Pp1s136_199V6	XLOC_005022	AT3G21720	isocitrate lyase	4.42095	0.96181	0.35255	-3.648456632104966	-2.2005325866148384	0
Pp1s97_68V6	XLOC_035848	AT4G14570	acylaminoacyl-peptidase-related	1.10568	1.77639	7.89169	2.835400376589202	0	2.151385930536685
Pp1s136_191V6	XLOC_005020	AT3G62700	multidrug resistance-associated protein 10	1.66186	2.30802	4.46618	1.4262425467927289	0	0.9523856715048123
-	XLOC_013903	N/A	N/A	22.9954	17.2577	10.9162	-1.074874561152783	0	-0.6607694716649558
Pp1s282_74V6	XLOC_018019	N/A	N/A	3.46835	8.63129	15.4187	2.152359735102827	1.3153267033463225	0.8370330317565048
Pp1s222_136V6	XLOC_013901	AT2G39650	Protein of unknown function (DUF506) 	10.9737	42.6372	37.3	1.765125589548088	1.9580626579819527	0
