Gene	F163	F164	F165	F166	F167	F168	F169
Pp1s132_175V6.1	7.9229	7.9229	5.7873	5.7873	11.561	5.3386	6.2677
Pp1s71_283V6.1	25.061	15.036	13.961	11.15	12.023	13.961	9.5764
sp|Q6YXN9|PSBC_PHYPA	2.6261	2.0166	5.2981	1.3603	1.5096	1.3603	1.0878
Pp1s60_65V6.1	41.779	17.757	13.249	19.556	21.528	16.115	21.528
Pp1s252_87V6.1	3.6281	2.7183	2.4929	2.3854	2.7183	2.0822	2.1801
Pp1s255_55V6.1 (+1)	5.6318	3.5426	3.8997	3.8997	4.2849	3.8997	3.8997
Pp1s287_61V6.2	7.7548	4.4996	6.4979	3.0339	3.7101	4.0896	4.9427
Pp1s153_146V6.1 (+1)	4.4289	3.0378	3.2122	3.3942	5.1634	3.584	4.2041
Pp1s21_407V6.1	3.3986	2.669	1.9692	1.795	2.3509	1.7118	1.795
Pp1s352_4V6.1	3.4397	1.9467	2.5502	2.9701	3.7833	2.8249	3.2773
Pp1s118_166V6.1	9.7444	5.9774	8.0404	7.2926	5.1298	4.3852	4.8708
Pp1s424_33V6.1	7.2435	3.5547	4.5506	2.499	2.499	2.2758	2.499
Pp1s131_154V6.1 (+1)	10.335	6.1899	4.7262	11.229	9.5069	7.368	7.368
Pp1s16_322V6.1 (+1)	4.7508	3.0531	2.4887	5.0456	6.7619	4.4704	4.4704
Pp1s256_10V6.1	77.993	55.444	77.993	49.462	55.444	49.462	49.462
Pp1s276_75V6.1	5.6594	3.4677	2.4812	4.1891	4.7336	4.7336	3.9365
Pp1s135_79V6.1	25.09	22.315	31.671	12.286	22.315	22.315	28.195
Pp1s181_107V6.1 (+1)	50.137	7.7057	11.903	11.903	18.123	14.708	27.342
Pp1s154_69V6.1 (+2)	4.6043	3.5181	3.2812	5.5871	4.9144	3.7681	4.6043
Pp1s32_1V6.1 (+1)	5.3897	3.1301	3.6061	2.7032	1.9772	1.9772	3.6061
Pp1s89_62V6.1	13.93	8.8502	7.0008	8.8502	7.0008	8.8502	5.4986
Pp1s146_112V6.1	4.8461	4.8461	3.0467	3.0467	6.8465	4.0461	4.0461
sp|Q8MFA2|PSAB_PHYPA	1.0125	0.59401	3.0502	0.21443	0.36456	0.26254	0.26254
Pp1s76_196V6.1	42.196	33.613	47.256	26.736	33.613	29.984	26.736
Pp1s28_304V6.1	3.5839	3.831	3.3495	1.8578	3.3495	1.8578	2.9159
Pp1s15_499V6.1 (+1)	2.524	1.4289	1.229	2.9515	3.5596	2.524	3.0663
Pp1s55_140V6.1	5.942	5.0138	4.5974	4.2098	5.942	4.2098	5.4612
Pp1s258_44V6.2	47.448	24.098	29.572	33.87	47.448	22.5	50.741
Pp1s214_87V6.1 (+1)	1.8895	1.3825	1.3825	1.6238	1.8895	1.8895	1.3825
sp|Q8MFA3|PSAA_PHYPA	0.64944	0.58715	3.4876	0.30927	0.25982	0.080032	0.25982
Pp1s195_41V6.1	1.9849	1.2878	1.4999	2.0745	3.0114	1.898	2.0745
sp|Q6YXN8|PSBD_PHYPA	1.8388	1.2313	3.9788	1.6198	1.2313	0.90042	0.90042
Pp1s3_520V6.1	11.194	7.5308	7.5308	7.5308	7.5308	9.1993	7.5308
Pp1s17_59V6.1	8.1853	3.2756	3.9821	6.8827	10.554	6.8827	6.8827
Pp1s27_97V6.1	23.828	16.809	29.984	11.774	21.225	13.27	29.984
tr|Q6YXN7|Q6YXN7_PHYPA	1.4539	1.0844	2.6904	0.50386	0.50386	0.63174	0.63174
tr|Q1XGA4|Q1XGA4_PHYPA	5.1569	2.2962	2.4889	2.6928	2.9086	2.6928	3.137
Pp1s290_40V6.1	3.514	3.0825	3.7466	4.8031	4.5187	3.7466	6.0947
Pp1s267_30V6.2	1.9232	1.9232	1.9232	1.9232	2.6227	2.0296	2.3727
Pp1s41_281V6.1	7.5295	4.8431	5.6283	4.8431	15.022	6.519	6.519
Pp1s38_238V6.1 (+2)	3.7881	2.4347	2.9602	2.7766	2.9602	1.9789	3.3545
Pp1s309_84V6.1	7.1344	3.6513	3.6513	3.6513	5.151	3.9879	3.6513
Pp1s24_39V6.1	4.9946	3.551	3.551	2.455	2.7014	2.455	2.455
Pp1s41_162V6.1	3.5072	3.5072	2.596	6.0808	5.5673	4.6493	5.091
Pp1s64_210V6.1	2.3734	1.7354	1.9747	1.0397	0.95591	1.127	1.3131
Pp1s74_243V6.1	1.495	0.98517	1.1019	1.3564	1.6417	1.29	1.4247
Pp1s182_26V6.1	7.1594	3.8277	4.5045	5.2762	4.5045	4.5045	3.8277
Pp1s351_30V6.1	4.2281	2.1428	3.0535	3.9059	3.9059	2.8037	3.0535
Pp1s25_66V6.2	38.95	12.215	16.425	13.491	24.196	8.1392	18.108
Pp1s43_80V6.1 (+1)	9.0179	8.2264	6.2079	4.1861	5.114	4.1861	4.6309
Pp1s160_137V6.1	2.5764	2.5764	2.2851	1.892	1.892	1.3386	1.2414
Pp1s21_270V6.1	2.0154	1.5553	1.2883	4.5332	4.8471	2.5583	2.7602
Pp1s345_25V6.1	1.9412	1.3142	2.738	1.0528	1.0528	1.0528	1.0528
sp|Q6YXQ2|PSAC_PHYPA	106.95	38.585	76.266	54.304	76.266	38.585	54.304
Pp1s164_93V6.1	4.3274	3.3222	3.0312	3.3222	3.9688	2.5066	2.5066
Pp1s239_18V6.1	2.7263	1.5113	4.5292	1.3514	0.93036	0.93036	0.80749
Pp1s211_59V6.1	6.3906	4.6605	4.2954	3.9539	5.0508	3.0558	4.2954
Pp1s13_200V6.1	42.196	33.613	52.908	29.984	42.196	37.667	37.667
Pp1s18_23V6.1	3.6608	2.2145	2.5745	2.7693	2.9748	2.5745	2.9748
Pp1s306_84V6.1	69.402	18.288	15.031	20.156	26.921	20.156	24.455
Pp1s32_313V6.1	4.8588	4.0861	4.4588	4.0861	6.7742	5.2881	5.2881
Pp1s109_241V6.10 (+7)	3.4642	1.3778	2.0113	6.7468	8.811	3.4642	3.8299
Pp1s5_83V6.2	16.007	10.05	10.752	10.05	17.088	10.05	16.007
Pp1s12_231V6.1 (+1)	18.903	11.412	6.7399	16.004	9.6039	9.6039	18.903
Pp1s343_26V6.1	3.4965	3.8302	3.4965	1.7243	2.3769	1.5361	1.7243
Pp1s407_2V6.1	4.6453	2.9363	2.9363	3.547	3.2306	3.547	2.4076
Pp1s26_26V6.1	4.0461	3.0467	2.2452	4.0461	4.4314	2.7597	4.0461
Pp1s54_66V6.2 (+2)	2.0451	1.6907	1.8624	2.2394	3.6953	2.0451	2.9
Pp1s79_140V6.1	0.82205	0.49179	0.72743	0.47203	0.63772	0.47203	0.5321
Pp1s213_9V6.1	2.6866	2.3068	2.4915	3.11	2.6866	3.11	3.3396
Pp1s72_301V6.1	3.6871	2.0608	2.0608	1.6087	2.4049	1.902	1.902
Pp1s264_65V6.1 (+1)	13.883	8.5891	8.5891	11.327	13.883	11.327	13.883
Pp1s348_22V6.1 (+1)	7.8298	5.1417	4.6089	4.1223	7.8298	3.6779	4.6089
Pp1s201_89V6.1	3.0785	3.3476	2.367	3.3476	2.826	2.5892	2.826
Pp1s213_80V6.1	3.0705	1.2679	1.8657	1.0176	1.2679	1.2679	1.2679
Pp1s61_255V6.1 (+2)	2.558	1.2106	1.7313	2.2009	3.6349	2.036	2.7512
Pp1s11_357V6.2	2.1412	1.7224	1.2496	1.7224	2.1412	1.8554	1.8554
Pp1s8_70V6.1	0.73842	0.63482	0.60168	0.77439	0.77439	0.50623	0.63482
Pp1s35_78V6.1	6.0933	3.2068	4.4626	2.6917	4.4626	3.7938	4.4626
Pp1s68_202V6.1 (+3)	22.28	7.7057	11.903	9.5984	14.708	6.151	7.7057
Pp1s30_255V6.2	1.4645	1.2209	1.1452	0.93315	1.2209	1.072	1.1452
Pp1s20_373V6.1 (+1)	2.5713	1.8886	2.1003	2.5713	2.833	2.833	3.4153
Pp1s23_50V6.1	1.1309	0.72412	0.94597	1.2639	1.2639	1.1309	1.6337
Pp1s123_97V6.1	2.5945	1.9523	2.2576	1.6756	2.2576	1.1975	1.4248
Pp1s343_21V6.1	0.61057	0.46414	0.49945	1.1437	1.2484	0.81436	0.99581
Pp1s223_16V6.1	1.9318	1.7919	1.7919	3.3351	3.7804	1.9318	3.3351
Pp1s14_358V6.1	1.1035	0.82567	1.1793	0.64168	0.70085	0.37531	0.47624
Pp1s161_32V6.1	0.82542	1.0589	1.3222	0.82542	0.61842	0.82542	0.61842
Pp1s141_8V6.1	3.0034	3.4542	2.234	3.0034	3.0034	2.5982	3.4542
Pp1s143_176V6.1 (+1)	2.3359	2.3359	3.0777	2.3359	2.3359	2.3359	2.3359
Pp1s16_358V6.1	3.4408	1.807	2.1481	3.4408	4.5856	2.5306	4.5856
Pp1s201_6V6.1	2.7147	2.1184	1.8572	5.8531	5.8531	3.8296	4.2711
Pp1s334_17V6.1	9.5349	5.8659	9.5349	4.5428	7.5048	7.5048	4.5428
Pp1s33_389V6.1	25.99	16.22	17.56	17.56	38.25	30.352	30.352
Pp1s51_315V6.1	2.4151	2.4151	2.6563	3.1909	3.8037	2.4151	2.6563
Pp1s1_461V6.1	2.8274	2.8274	3.3772	1.9263	4.725	2.8274	2.3467
Pp1s91_92V6.1	1.491	1.1647	1.8665	4.3922	5.2051	3.072	2.7959
Pp1s206_11V6.1	18.173	9.1819	14.526	11.573	9.1819	4.4071	9.1819
Pp1s15_292V6.1	3.1364	3.1364	2.2313	2.8887	3.9779	3.3998	3.9779
Pp1s131_153V6.1 (+1)	18.526	5.9008	8.2888	9.7768	11.503	8.2888	11.503
Pp1s2_62V6.1	0.89388	0.54799	0.77075	0.65563	0.60091	0.30852	0.49682
Pp1s99_95V6.1	1.0176	1.2679	1.5494	1.0176	1.5494	1.0176	1.2679
Pp1s196_10V6.1	1.4715	0.86643	0.64744	1.0496	1.1145	0.98661	0.92558
Pp1s355_13V6.1 (+2)	2.5496	1.1907	1.0625	1.962	2.7704	1.962	1.7886
Pp1s199_145V6.1	2.3205	1.5432	1.7186	1.5432	2.5495	1.7186	2.1064
Pp1s65_130V6.1	2.6321	1.8928	2.3668	2.6321	3.5605	2.3668	2.1208
Pp1s241_33V6.1	30.311	18.333	13.677	14.724	18.333	13.677	11.788
Pp1s230_36V6.1	1.8408	1.2407	1.1369	1.8408	2.1236	1.2407	1.1369
Pp1s161_120V6.1	3.1318	1.3942	1.9782	2.1452	1.3942	1.2671	1.5285
Pp1s270_57V6.1	6.4561	3.9889	5.099	1.7306	2.0191	1.7306	1.7306
Pp1s263_36V6.1	3.7749	1.3461	2.1174	4.1266	3.1423	3.1423	2.5935
Pp1s12_379V6.1 (+3)	3.2501	2.1821	2.8592	2.5044	2.5044	1.8895	1.3825
Pp1s27_130V6.1	6.1352	3.175	3.175	4.9679	3.175	3.175	3.175
Pp1s66_184V6.1 (+2)	2.0061	1.2501	2.0061	1.5265	1.8369	1.5265	2.0061
Pp1s10_341V6.1	0.92693	0.70062	0.5485	0.70062	0.81024	0.5485	0.75457
Pp1s59_188V6.1 (+2)	1.4657	1.1674	1.1674	0.21335	0.21335	0.21335	0.21335
Pp1s277_10V6.3	2.4374	1.3154	1.5558	1.4327	1.5558	1.0977	1.6852
Pp1s241_86V6.1 (+1)	1.4015	1.4015	2.7214	0.9291	0.729	0.54966	0.9291
Pp1s30_39V6.1	3.7506	2.3157	3.214	2.738	5.0376	3.214	4.3556
Pp1s119_57V6.1	1.6299	1.2059	1.0203	1.305	1.748	1.4086	0.93339
Pp1s336_22V6.1	4.2399	2.9119	3.3122	2.5487	2.2193	1.9204	1.6493
Pp1s176_89V6.3 (+1)	1.9782	1.0327	1.2671	1.5285	1.6703	1.3942	1.5285
Pp1s431_2V6.2 (+1)	0.50894	0.61604	0.67241	0	0	0	0
Pp1s257_45V6.1	10.128	3.0777	3.9845	6.4477	8.1039	15.628	12.603
Pp1s28_168V6.2	2.367	2.1586	1.4462	1.7797	2.367	1.4462	1.9631
Pp1s33_206V6.1 (+2)	3.3309	2.9518	1.7394	2.0022	2.2902	1.4996	2.6058
Pp1s97_279V6.1	1.4615	0.96516	1.0557	0.14467	0.25256	0.094258	0.1974
Pp1s72_282V6.1	0.66195	0.49339	0.41563	1.004	1.004	0.84954	0.84954
Pp1s123_144V6.1	1.3303	0.84225	0.84225	1.4424	2.0894	2.0894	2.0894
Pp1s88_62V6.1	0.89341	0.83393	0.77631	1.0182	0.95482	1.0182	1.0182
Pp1s3_320V6.1	0.8022	0.46834	0.75663	0.94611	1.0484	0.5856	0.75663
Pp1s2_15V6.1 (+1)	2.3488	1.9676	1.9676	3.8124	3.2646	2.7791	3.2646
Pp1s237_81V6.1 (+1)	1.2294	0.93926	1.0081	0.36851	0.57327	0.36851	0.46732
Pp1s114_138V6.1	2.1003	1.1769	1.3364	1.6914	1.3364	1.6914	1.6914
Pp1s234_39V6.1 (+1)	3.941	1.8115	1.8115	2.7271	2.3928	1.8115	2.0885
Pp1s149_154V6.1 (+1)	0.54158	0.41375	0.41375	0.88662	1.1174	0.88662	0.73018
Pp1s98_132V6.1	1.6201	0.82579	0.82579	2.9933	3.5043	2.1387	2.5403
Pp1s369_27V6.1	2.6057	2.2541	1.6504	1.5179	1.7899	1.1587	1.5179
Pp1s540_7V6.1 (+2)	2.636	1.8434	1.3646	2.4192	3.1117	2.2154	2.636
Pp1s161_69V6.1	2.2286	1.7308	1.7308	2.2286	2.2286	1.5115	1.9693
Pp1s250_10V6.1 (+1)	2.2202	2.2202	2.2202	5.0942	3.9269	1.8954	1.8954
Pp1s86_156V6.1	24.464	6.2899	11.201	11.201	15.376	10.335	16.626
Pp1s150_124V6.1	1.208	1.4726	1.6165	2.281	3.3538	1.6165	2.6741
Pp1s168_35V6.1	0.36734	0.36734	0.36734	0.36734	0.36734	0.36734	0.36734
Pp1s94_133V6.1	2.9466	1.4973	1.4973	1.144	1.4973	0.84071	0.84071
Pp1s12_40V6.1	1.4855	1.1607	1.3174	2.0667	1.6659	1.4855	2.2892
Pp1s42_208V6.1	2.2972	2.6419	2.2972	1.7027	2.2972	1.7027	1.7027
Pp1s116_53V6.1	1.8383	1.8383	1.1067	2.0579	3.1197	2.0579	2.8238
Pp1s330_37V6.1	1.363	0.90587	1.363	1.1221	1.1221	0.90587	0.90587
Pp1s72_197V6.1	1.6553	1.2565	0.91753	0.91753	1.4478	0.91753	1.0801
Pp1s60_106V6.1 (+1)	2.0067	1.7939	1.4125	2.2356	2.7471	2.0067	2.482
Pp1s9_141V6.1	0.78916	0.35625	0.74027	0.74027	0.89108	0.55774	0.83941
Pp1s348_31V6.1 (+1)	0.54114	0.41926	0.50972	0.39033	0.36199	0.28038	0.36199
Pp1s123_61V6.1	0.020106	0.020106	0.020106	0.22027	0.06154	0.040617	0.040617
Pp1s110_13V6.1	2.2497	1.6701	1.0549	1.3424	1.6701	1.3424	1.0549
Pp1s29_256V6.1 (+1)	2.4548	1.7382	2.1972	2.4548	2.7332	2.1972	3.7101
Pp1s25_21V6.1	0.72519	0.61151	0.66738	0.55751	0.66738	0.50532	0.55751
Pp1s114_123V6.2	1.5189	1.3461	2.1174	1.7044	1.9036	1.3461	3.1423
Pp1s228_3V6.1	3.5376	2.5266	3.5376	3.5376	4.2785	3.3145	4.8385
Pp1s77_16V6.2	0.96912	0.96912	0.84011	0	0	0	0
Pp1s157_44V6.1 (+3)	7.5803	1.6566	2.9269	4.8047	6.0573	3.7743	4.8047
Pp1s143_131V6.1 (+4)	0.4929	0.4929	1.36	0.40983	0.33139	0.40983	0.58085
Pp1s78_4V6.1 (+1)	1.7964	1.2766	1.7964	1.9948	2.2073	1.2766	1.6111
Pp1s83_246V6.1	0.45956	0.45956	1.5737	0.45956	0.45956	0.45956	0.45956
Pp1s218_28V6.1 (+1)	2.7114	2.3795	1.8022	3.9157	2.7114	2.3795	2.0773
sp|Q6YXK2|ATPF_PHYPA	1.8146	1.4278	1.8146	1.8146	2.783	1.8146	1.0942
Pp1s270_50V6.1	0.1809	0.086693	0.57975	0.086693	0.13282	0.042446	0.13282
Pp1s405_31V6.1	0.9615	0.9615	1.0748	1.4554	1.3213	1.3213	1.3213
Pp1s252_28V6.1	1.1364	1.84	1.3491	1.1364	1.84	0.94302	0.94302
Pp1s10_192V6.1 (+1)	5.5625	5.0361	4.5519	2.9736	3.6969	2.5052	3.6969
Pp1s54_167V6.1	6.6596	2.3925	6.6596	2.3925	4.0976	4.0976	3.1586
Pp1s44_268V6.1	0.60895	0.68004	0.54087	1.0855	1.2738	0.83177	0.99722
Pp1s196_68V6.1	3.6613	2.2676	2.2676	2.6784	4.2472	2.6784	1.9028
Pp1s143_175V6.1	4.0434	4.0434	4.0434	3.4072	4.0434	2.8512	3.4072
sp|Q6YXL9|PSBE_PHYPA	3.7795	2.4955	2.4955	2.4955	1.5564	1.5564	2.4955
Pp1s99_201V6.1	2.1112	2.4198	2.7591	3.9924	3.132	2.4198	3.132
Pp1s227_133V6.1	3.4787	1.6218	2.6152	2.248	3.985	1.3555	2.248
Pp1s137_86V6.1	2.496	1.2177	1.7845	2.496	2.9173	2.9173	3.3894
Pp1s218_93V6.1	2.4335	1.3491	0.94302	2.1227	2.7753	3.5643	3.5643
Pp1s35_94V6.1	1.4219	1.1826	1.0719	0.96685	1.6876	1.1826	0.96685
Pp1s204_121V6.1	2.2721	1.2504	1.8883	1.1143	1.2504	0.86623	0.98637
Pp1s422_8V6.1 (+2)	1.069	0.47918	0.65425	1.5877	2.6195	1.188	1.7365
Pp1s20_67V6.1	0.71296	0.64836	0.4688	0.92236	1.076	0.7801	0.92236
Pp1s419_10V6.1	7.6891	3.7258	3.1838	4.3379	5.408	3.3132	4.6731
Pp1s58_251V6.1	1.7257	1.1528	1.5695	2.2533	2.6606	2.0669	2.4509
Pp1s91_16V6.1	1.6873	0.82525	0.82525	0.9054	1.0764	0.60444	0.74846
Pp1s239_45V6.1	1.7472	1.1946	1.0748	1.5972	2.0736	1.5972	1.7472
tr|Q6YXR2|Q6YXR2_PHYPA	3.93	3.0387	3.93	5.018	6.3461	3.93	3.0387
Pp1s79_167V6.1	1.9282	1.5987	1.0468	1.0468	1.3063	1.0468	1.3063
Pp1s347_12V6.1	1.9843	1.3981	1.1498	1.3981	1.2706	1.5329	1.5329
Pp1s20_130V6.1 (+1)	4.1431	2.3424	2.0664	2.9713	2.9713	2.9713	3.3288
Pp1s234_46V6.1	1.135	0.76621	1.135	1.135	0.88144	0.76621	0.65803
Pp1s108_171V6.1 (+1)	3.652	3.0184	2.2261	2.2261	3.652	1.9984	2.4711
Pp1s331_37V6.1	1.7652	0.93119	0.93119	1.3109	1.6046	1.4534	2.1167
Pp1s276_86V6.1	2.1322	1.1612	1.2882	3.0496	3.0496	2.044	2.9356
Pp1s372_25V6.1	1.9418	1.2934	1.7075	0.94258	1.1107	1.7075	0.94258
Pp1s188_15V6.1	1.1871	0.81929	0.73744	0.90499	1.6293	0.99474	0.90499
Pp1s145_122V6.1	2.2909	2.2909	1.3781	0.91503	1.6501	1.134	1.134
Pp1s66_287V6.1	0.69749	0.51552	0.63453	0.76287	0.76287	0.45931	0.51552
Pp1s183_56V6.1	0.48434	0.35961	0.24536	1.3021	1.6261	0.76917	0.76917
Pp1s1_295V6.1	1.4034	1.6493	1.4034	1.6493	2.2193	1.6493	2.2193
Pp1s273_61V6.1	1.3858	1.1401	1.6597	0.91967	0.91967	0.72196	0.72196
Pp1s83_150V6.1 (+1)	2.6784	1.2907	1.5786	3.1408	4.2472	1.9028	3.6613
Pp1s317_51V6.1	0.84899	0.60003	0.65894	0.54321	0.60003	0.288	0.288
Pp1s205_25V6.1	1.2896	0.9782	0.9782	0.62788	0.79451	0.47672	0.62788
Pp1s101_184V6.1	1.3364	1.1769	1.3364	1.8886	1.8886	1.5076	1.8886
Pp1s50_50V6.1	1.3609	1.0459	0.77303	1.1978	1.7243	1.1978	1.7243
Pp1s26_23V6.1	2.5812	1.9366	1.7747	1.7747	1.9366	1.3407	1.3407
Pp1s233_104V6.1	5.436	3.3186	2.7808	3.9329	5.436	3.3186	3.9329
Pp1s204_93V6.1 (+3)	75.504	34.262	29.202	47.068	55.122	40.17	75.504
Pp1s360_13V6.1 (+2)	5.9715	1.9811	1.6404	5.1748	5.9715	2.8	5.9715
Pp1s45_76V6.1 (+1)	1.7418	1.0719	1.1913	0.75128	0.85221	0.32336	0.85221
Pp1s111_53V6.2	1.3908	1.2465	0.98347	0.98347	0.86374	0.54622	0.64554
Pp1s36_3V6.1	1.0112	0.77786	1.0112	1.0955	1.1835	0.70627	1.9114
Pp1s90_50V6.1	5.5113	3.419	4.0285	2.8833	4.0285	2.8833	4.0285
Pp1s155_34V6.1 (+1)	11.921	8.6174	16.358	6.8991	9.6121	6.1587	7.716
Pp1s227_66V6.1	1.3561	0.77062	0.87473	1.4946	1.4946	1.2252	0.87473
Pp1s253_16V6.1	0.25736	0.22188	0.29388	0.58096	0.53635	0.49299	0.37012
Pp1s114_157V6.1	0.75131	0.75131	0.93915	0.93915	1.2593	0.84284	1.3774
Pp1s37_41V6.1	1.9816	1.7222	1.4853	2.2658	2.2658	1.9816	2.2658
Pp1s76_97V6.1	1.0813	1.0813	1.2124	1.0813	0.95801	0.84198	1.0813
Pp1s382_41V6.1	1.5293	1.1009	0.97483	1.5293	1.8624	1.5293	1.6907
Pp1s37_113V6.1 (+1)	1.2465	0.86374	1.1109	1.7078	1.8817	1.3908	1.5444
Pp1s21_137V6.1	1.0626	0.97136	0.97136	0.80079	0.80079	0.72112	1.0626
Pp1s159_68V6.1 (+2)	1.3652	1.2136	0.93904	2.0825	2.0825	1.7001	1.7001
Pp1s172_24V6.1	0.86058	0.57668	0.45141	0.33609	0.39256	0.28192	0.39256
sp|Q6YXN5|CHLB_PHYPA	1.1622	0.8329	0.8329	0.8329	0.73467	0.73467	0.8329
Pp1s14_350V6.1 (+1)	5.0321	2.7591	3.5419	0.76386	1.3426	0.76386	1.3426
Pp1s200_69V6.1	3.1535	1.8168	2.2061	1.8168	2.2061	1.4748	3.1535
Pp1s137_165V6.1	1.2934	0.78785	0.78785	1.1107	2.1964	0.94258	0.94258
Pp1s40_304V6.1	2.4778	1.1793	1.016	2.4778	1.753	1.753	2.4778
Pp1s22_79V6.1 (+1)	0.90851	0.90851	1.1256	1.0141	1.3673	0.53861	0.71361
Pp1s171_150V6.1	2.8908	2.3457	3.8796	2.8908	4.6747	3.5248	3.5248
Pp1s95_45V6.1	3.8622	3.8622	2.7356	2.7356	4.5472	3.8622	3.8622
Pp1s149_289V6.1	0.86298	0.43755	0.29595	1.5428	1.2923	0.76885	1.1765
Pp1s66_107V6.1	1.3732	1.2311	1.2311	0.85394	0.85394	0.54052	0.85394
Pp1s131_71V6.1 (+3)	10.044	3.487	6.0395	7.1797	7.1797	5.0582	8.5045
Pp1s87_131V6.1 (+2)	1.0832	0.6715	0.6715	1.5962	1.4125	1.0832	1.2418
Pp1s434_14V6.1 (+8)	0.26727	0.26727	0.73791	0.37138	0.37138	0.17106	0.26727
Pp1s402_20V6.2	7.0977	5.8942	3.9973	3.2547	4.8696	3.2547	3.2547
Pp1s83_99V6.1	1.3613	1.0198	0.868	1.1838	1.5531	0.868	0.868
Pp1s101_170V6.2	1.5656	1.0642	1.3862	1.2194	0.91992	0.91992	0.91992
Pp1s93_158V6.1	1.0195	0.77725	1.1528	0	0.065982	0	0
Pp1s140_22V6.1	0.88565	0.58105	0.52631	0.47346	0.47346	0.42244	0.37319
Pp1s19_25V6.1	1.2063	0.4329	0.4329	2.1615	2.6507	1.0532	1.5478
Pp1s33_172V6.1	0.90037	0.99658	0.72163	0.99658	1.2039	0.90037	1.2039
Pp1s450_21V6.1 (+1)	1.81	1.2854	0.99131	1.81	2.2251	1.4484	1.623
Pp1s198_75V6.1	0.88361	0.88361	0.65956	0.65956	0.88361	0.65956	0.88361
Pp1s136_41V6.1	1.7964	1.7964	1.6111	0.98487	1.2766	0.85336	0.85336
Pp1s12_371V6.2	1.1072	0.84011	0.84011	1.9569	1.7632	1.2549	1.413
Pp1s131_104V6.1	3.29	3.29	2.758	1.8838	2.758	2.292	2.758
Pp1s146_98V6.1	2.3544	1.8218	1.8218	2.6573	1.5881	1.8218	1.5881
Pp1s291_43V6.1	1.5419	0.77553	0.90763	1.202	1.9342	0.43163	0.90763
sp|Q6YXP7|NDHH_PHYPA	1.8593	1.6659	1.6659	0.63275	0.63275	0.63275	0.63275
