accession	annotator_id	csid	date	value	source
Pp1s35_216V6.1	student	155	2010-08-30 18:13:28	pum-1 gene for putative PUMILIO/Mpt5 family RNA-Binding protein PUM-1	cosmoss|V1.2-5_mapping_Phypa_430978
Pp1s9_40V6.1	student	166	2010-08-17 16:14:17	mine1 gene for putative plastid division site determinant MinE protein MinE1a	cosmoss|V1.2-5_mapping_Phypa_424497
Pp1s30_291V6.1	student	166	2010-08-17 15:37:53	minD1 gene for plastid division site determinant protein MinD	cosmoss|V1.2-5_mapping_Phypa_429557
Pp1s97_57V6.1	student	126	2010-08-17 15:14:31	glp7 gene for putative germin-like protein GLP7a	cosmoss|V1.2-5_mapping_Phypa_441018
Pp1s359_10V6.1	student	134	2010-08-17 13:10:04	ntmc3type2.1 gene for putative protein NTMC2Type3.1	cosmoss|V1.2-5_mapping_Phypa_458712
Pp1s7_280V6.1	lang		2010-07-15 10:34:17	hb7 gene for putative homeobox protein variant HB7c	cosmoss|V1.2-5_mapping_Phypa_423974
Pp1s7_280V6.2	lang		2010-07-15 10:33:57	hb7 gene for putative homeobox protein variant HB7b	cosmoss|V1.2-5_mapping_Phypa_423973
Pp1s7_280V6.3	lang		2010-07-15 10:28:00	hb7 gene for putative homeobox protein variant HB7a	cosmoss|V1.2-5_mapping_Phypa_423972
Pp1s10_72V6.3	student	201	2010-07-14 20:08:15	g1l1 gene for putative G1-like protein G1L1	cosmoss|V1.2-5_mapping_Phypa_424946
Pp1s82_3V6.1	student	126	2010-07-14 13:56:17	glp1b gene for putative germin like family protein GLP1b	cosmoss|V1.2-5_mapping_Phypa_439045
Pp1s9_391V6.1	student	134	2010-07-14 13:49:52	ntmc2type1.2 gene for putative protein NTMC2Type1.2	cosmoss|V1.2-5_mapping_Phypa_424658
Pp1s82_3V6.2	student	126	2010-07-14 13:48:15	glp1b gene for putative germin-like family protein GLP1b	cosmoss|V1.2-5_mapping_Phypa_439044
Pp1s12_58V6.1	student	171	2010-07-14 13:45:42	nrt2_5 gene for high affinity nitrate transporter protein NRT2_5	cosmoss|V1.2-5_mapping_Phypa_425384
Pp1s12_58V6.1	student	188	2010-07-14 13:45:42	nrt2_5 gene for high affinity nitrate transporter protein NRT2_5	cosmoss|V1.2-5_mapping_Phypa_425384
Pp1s449_20V6.1	student	171	2010-07-14 13:44:00	nrt2_4 gene for high affinity nitrate transporter protein NRT2_4	cosmoss|V1.2-5_mapping_Phypa_154919
Pp1s449_20V6.1	student	186	2010-07-14 13:44:00	nrt2_4 gene for high affinity nitrate transporter protein NRT2_4	cosmoss|V1.2-5_mapping_Phypa_154919
Pp1s75_75V6.1	student	171	2010-07-14 13:42:31	nrt2_3 gene for high affinity nitrate transporter protein NRT2_3	cosmoss|V1.2-5_mapping_Phypa_438031
Pp1s75_75V6.1	student	185	2010-07-14 13:42:31	nrt2_3 gene for high affinity nitrate transporter protein NRT2_3	cosmoss|V1.2-5_mapping_Phypa_438031
Pp1s100_228V6.1	student	171	2010-07-14 13:40:33	nrt2_2 gene for high affinity nitrate transporter protein NRT2_2	cosmoss|V1.2-5_mapping_Phypa_441490
Pp1s100_228V6.1	student	184	2010-07-14 13:40:33	nrt2_2 gene for high affinity nitrate transporter protein NRT2_2	cosmoss|V1.2-5_mapping_Phypa_441490
Pp1s100_222V6.2	student	193	2010-07-14 13:35:13	nrt2_1 gene for high affinity nitrate transporter protein NRT2_1	cosmoss|V1.2-5_mapping_Phypa_441456
Pp1s100_222V6.2	student	208	2010-07-14 13:35:13	nrt2_1 gene for high affinity nitrate transporter protein NRT2_1	cosmoss|V1.2-5_mapping_Phypa_441456
Pp1s132_47V6.1	student	171	2010-07-14 13:31:50	nar2_1 gene for putative high affinity nitrate transporter component protein NAR2_1	cosmoss|V1.2-5_mapping_Phypa_216690
Pp1s132_47V6.1	student	194	2010-07-14 13:31:50	nar2_1 gene for putative high affinity nitrate transporter component protein NAR2_1	cosmoss|V1.2-5_mapping_Phypa_216690
Pp1s17_201V6.1	student	171	2010-07-14 13:30:18	nar2_2 gene for putative high affinity nitrate transporter component protein NAR2_2	cosmoss|V1.2-5_mapping_Phypa_426700
Pp1s17_201V6.1	student	190	2010-07-14 13:30:18	nar2_2 gene for putative high affinity nitrate transporter component protein NAR2_2	cosmoss|V1.2-5_mapping_Phypa_426700
Pp1s100_231V6.2	student	171	2010-07-14 13:18:42	nar2_3 gene for putative high affinity nitrate transporter component protein NAR2_3	cosmoss|V1.2-5_mapping_Phypa_441450
Pp1s100_231V6.2	student	192	2010-07-14 13:18:42	nar2_3 gene for putative high affinity nitrate transporter component protein NAR2_3	cosmoss|V1.2-5_mapping_Phypa_441450
Pp1s100_231V6.2	student	193	2010-07-14 13:18:42	nar2_3 gene for putative high affinity nitrate transporter component protein NAR2_3	cosmoss|V1.2-5_mapping_Phypa_441450
Pp1s12_244V6.1	student	170	2010-07-14 12:46:51	dellaB gene for putative DELLA family protein DELLAb	cosmoss|V1.2-5_mapping_Phypa_425455
Pp1s175_16V6.1	student	170	2010-07-14 12:46:04	dellaA gene for putative DELLA family protein DELLAa	cosmoss|V1.2-5_mapping_Phypa_448723
Pp1s80_151V6.1	student	179	2010-07-14 03:38:05	rpoa2 gene for putative DNA-directed RNA polymerase alpha chain protein RPOA2	cosmoss|V1.2-5_mapping_Phypa_438711
Pp1s68_207V6.1	student	178	2010-07-14 02:23:12	ppr gene for putative pentatricopeptide repeat-like protein PPR	cosmoss|V1.2-5_mapping_Phypa_436903
Pp1s279_11V6.2	student	174	2010-07-14 01:41:21	ppr_38 gene for putative pentatricopeptide repeat protein PPR_38b	cosmoss|V1.2-5_mapping_Phypa_455452
Pp1s279_11V6.1	student		2010-07-14 01:40:54	ppr_38 gene for putative pentatricopeptide repeat protein PPR_38a	cosmoss|V1.2-5_mapping_Phypa_455451
Pp1s322_17V6.1	student	174	2010-07-14 00:30:57	ppr_20 gene for putative pentatricopeptide repeat protein PPR_20	cosmoss|V1.2-5_mapping_Phypa_457365
Pp1s9_39V6.1	student		2010-07-13 23:50:51	mine1 gene for putative plastid division site determinant MinE protein MINE1b	cosmoss|V1.2-5_mapping_Phypa_424578
Pp1s9_39V6.2	student		2010-07-13 23:50:10	mine1 gene for putative plastid division site determinant MinE protein MINE1b	cosmoss|V1.2-5_mapping_Phypa_424577
Pp1s364_5V6.1	student	151	2010-07-13 21:10:52	col3 gene for putative COSTANS-like 3 protein COL3	cosmoss|V1.2-5_mapping_Phypa_458815
Pp1s97_109V6.1	student	151	2010-07-13 21:05:53	col2 gene for putative CONSTANS-like 2 protein COL2	cosmoss|V1.2-5_mapping_Phypa_441024
Pp1s371_27V6.1	student	151	2010-07-13 20:59:11	col1 gene for putative CONSTANS-like 1 protein COL1	cosmoss|V1.2-5_mapping_Phypa_459027
Pp1s16_213V6.1	student	134	2010-07-13 20:55:29	ntmc2type1.1 gene for putative protein NTMC2Type1.1	cosmoss|V1.2-5_mapping_Phypa_426600
Pp1s67_107V6.1	student	147	2010-07-13 20:44:20	c3hdz2 gene for putative Class III homeodomain-leucine zipper protein C3HDZ2	cosmoss|V1.2-5_mapping_Phypa_436746
Pp1s35_157V6.1	student	143	2010-07-13 20:25:16	brk1 gene for putative BRICK1/HSPC300 protein BRK1	cosmoss|V1.2-5_mapping_Phypa_431020
Pp1s154_69V6.1	student	138	2010-07-13 20:20:57	atpB gene for putative ATPase alpha subunit protein ATPB	cosmoss|V1.2-5_mapping_Phypa_446896
Pp1s97_59V6.1	student	126	2010-07-13 19:35:03	glp5 gene for putative germin-like protein GLP5	cosmoss|V1.2-5_mapping_Phypa_440990
Pp1s156_53V6.1	student	126	2010-07-13 19:26:05	glp4 gene for putative germin-like protein GLP4	cosmoss|V1.2-5_mapping_Phypa_447005
Pp1s68_22V6.1	student	126	2010-07-13 18:52:15	glp3 gene for putative germin-like protein GLP3	cosmoss|V1.2-5_mapping_Phypa_436954
Pp1s268_6V6.1	student	162	2010-07-13 17:39:19	ena2 gene for Na P-type ATPase protein ENA2A	cosmoss|V1.2-5_mapping_Phypa_454830
Pp1s268_6V6.3	student	162	2010-07-13 17:29:49	ena2 gene for Na P-type ATPase protein ENA2B	cosmoss|V1.2-5_mapping_Phypa_170907
Pp1s30_293V6.1	student		2010-07-13 17:18:22	mind1 gene for putative plastid division site determinant MinD protein MIND1	cosmoss|V1.2-5_mapping_Phypa_429621
Pp1s268_6V6.2	student	162	2010-07-13 17:17:08	ena2 gene for Na P-type ATPase protein ENA2C	cosmoss|V1.2-5_mapping_Phypa_454829
Pp1s74_224V6.1	student	157	2010-07-13 16:54:26	lfy2 gene for putitive FLORICAULA/LEAFY homolog 2protein LFY2	cosmoss|V1.2-5_mapping_Phypa_437911
Pp1s40_228V6.1	student	160	2010-07-13 16:49:16	ena1 gene for Na P-type ATPase protein ENA1	cosmoss|V1.2-5_mapping_Phypa_432042
Pp1s52_67V6.1	student	157	2010-07-13 15:01:40	lfy1 gene for putative FLORICAULA/LEAFY homolog 1 protein LFY1	cosmoss|V1.2-5_mapping_Phypa_434140
Pp1s15_11V6.1	student	147	2010-07-13 13:54:04	c3hdz1 gene for putative protein class III homeodomain-leucine zipper	cosmoss|V1.2-5_mapping_Phypa_426187
Pp1s55_301V6.2	student	117	2010-07-13 13:53:44	pip2_2 gene for putative plasma membrane aquaporin protein PIP2_2	cosmoss|V1.2-5_mapping_Phypa_434685
Pp1s164_65V6.1	student	139	2010-07-13 13:43:03	phy4 gene for phytochrome protein PHY4	cosmoss|V1.2-5_mapping_Phypa_447784
Pp1s81_159V6.1	student	139	2010-07-13 13:40:27	phy3 gene for phytochrome protein PHY3	cosmoss|V1.2-5_mapping_Phypa_438884
Pp1s327_27V6.1	student	139	2010-07-13 13:37:22	phy2 gene for phytochrome protein PHY2	cosmoss|V1.2-5_mapping_Phypa_457585
Pp1s97_57V6.2	student	126	2010-07-13 13:33:41	glp7 gene for germin-like protein variant GLP7a	cosmoss|V1.2-5_mapping_Phypa_441019
Pp1s233_24V6.1	student	139	2010-07-13 13:12:48	phy1 gene for phytochrome protein PHY1	cosmoss|V1.2-5_mapping_Phypa_452931
Pp1s204_69V6.1	student	133	2010-07-11 16:55:44	arpc4 gene for putative actin-related protein complex 4 ARPC4	cosmoss|V1.2-5_mapping_Phypa_450886
Pp1s85_160V6.1	student	131	2010-07-11 16:32:39	arp3 gene for putative actin-related protein ARP3	cosmoss|V1.2-5_mapping_Phypa_439496
Pp1s338_52V6.1	student	126	2010-07-11 16:16:59	glp6 gene for putative germin-like protein GLP6	cosmoss|V1.2-5_mapping_Phypa_457980
Pp1s206_126V6.1	student	126	2010-07-11 00:10:06	glp2 gene for putative germin-like protein GLP2	cosmoss|V1.2-5_mapping_Phypa_451007
Pp1s64_155V6.2	student	121	2010-07-10 20:21:34	des6 gene for lipid desaturase family protein DES6	cosmoss|V1.2-5_mapping_Phypa_436176
Pp1s267_61V6.2	student	117	2010-07-10 20:19:57	pip2_3 gene for putative aquaporin family protein PIP2_3	cosmoss|V1.2-5_mapping_Phypa_454785
Pp1s279_9V6.1	student	116	2010-07-10 19:30:15	arf gene for putative auxin response factor protein ARF	cosmoss|V1.2-5_mapping_Phypa_455438
Pp1s8_151V6.1	student	117	2010-07-10 19:23:17	pip2_1 gene for putative aquaporin family protein PIP2_1	cosmoss|V1.2-5_mapping_Phypa_202226
Pp1s33_251V6.1	student	113	2010-07-07 20:19:18	expa5 gene for putative alpha expansin protein family EXPA5	cosmoss|V1.2-5_mapping_Phypa_430371
Pp1s325_11V6.1	student	107	2010-07-06 15:04:06	expa6 gene for putative alpha expansin protein family EXPA6	cosmoss|V1.2-5_mapping_Phypa_457494
Pp1s325_11V6.1	student	110	2010-07-06 15:04:06	expa6 gene for putative alpha expansin protein family EXPA6	cosmoss|V1.2-5_mapping_Phypa_457494
Pp1s325_11V6.1	student	113	2010-07-06 15:04:06	expa6 gene for putative alpha expansin protein family EXPA6	cosmoss|V1.2-5_mapping_Phypa_457494
Pp1s11_299V6.3	gustin		2010-05-22 04:02:10	mtp11.1 gene for putative metal tolerance protein MTP11.1	cosmoss|V1.2-5_mapping_Phypa_425143
Pp1s119_25V6.1	gustin		2010-05-22 04:01:35	mtp11 gene for putative metal tolerance protein MTP11	cosmoss|V1.2-5_mapping_Phypa_443580
Pp1s106_79V6.1	gustin		2010-05-22 03:59:24	mtp8.1 gene for putative metal tolerance protein MTP8.1	cosmoss|V1.2-5_mapping_Phypa_442185
Pp1s55_158V6.1	gustin		2010-05-22 03:59:01	mtp8 gene for putative metal tolerance protein MTP8	cosmoss|V1.2-5_mapping_Phypa_434661
